IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
31828154,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,,,LIMESTONE,,N,,PARIS,,,,,38.062288042,-84.474377709,1.653,6/28/2023 12:00:00 AM,0530,2,1,0,1,CLEAR,DRY,True,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING),,,6/29/2023 6:57:29 AM,False,58716,Accepted,
31811020,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,,,STONE,AVE,,,HIGH,,,,,38.042164811,-84.495523784,0.003,6/23/2023 12:00:00 AM,1625,2,1,0,1,CLOUDY,DRY,False,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/25/2023 2:25:33 PM,False,59742,Accepted,
31802079,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,KY0004,,NEW CIRCLE,RD,W,,,KY0004,KY4 EXIT9A RAMP TO KY922 SB,KY0922,NEWTOWN,38.074843859,-84.497561060,9.193,6/22/2023 12:00:00 AM,0048,2,1,1,0,CLEAR,DRY,True,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,UNKNOWN,,,6/22/2023 6:56:15 PM,False,49203,Accepted,
31797022,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,,,3RD,ST,E,,,,WARNOCK,,SHROPSHIRE,38.043745248,-84.484165938,0.619,6/21/2023 12:00:00 AM,1213,2,1,0,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/21/2023 4:23:30 PM,False,59778,Accepted,
31801582,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,,,TEMPLEMAN,ALY,,,MARTIN LUTHER KING,,,,,38.047040071,-84.492431272,0.131,6/21/2023 12:00:00 AM,1600,2,1,0,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/22/2023 4:47:15 PM,False,59791,Accepted,
31789689,0340300,UNIVERSITY OF KENTUCKY POLICE,Accepted,FAYETTE,,,MARTIN LUTHER KING,BLVD,S,,MAXWELL,,,,,38.042174374,-84.499958621,0.304,6/17/2023 12:00:00 AM,2055,2,1,0,1,CLEAR,DRY,False,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,,,6/20/2023 6:32:36 AM,False,4337,Accepted,
31787639,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,I 0075,,I75 N,,,,,I 0075,I75 N EXIT111 RAMP TO I64 E,I 0064,I64 W,38.051195387,-84.427992548,110.586,6/13/2023 12:00:00 AM,0445,3,2,0,1,CLEAR,DRY,False,COLLISION WITH PEDESTRIAN NON - INTERSECTION,HEAD ON,STRAIGHT & GRADE,DARK-HWY NOT LIGHTED,,,6/19/2023 4:14:12 PM,False,53290,Accepted,
31742558,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,KY0353,,RUSSELL CAVE,RD,,,,,,,,38.071656791,-84.476014152,0.067,6/8/2023 12:00:00 AM,1957,2,1,0,1,CLEAR,DRY,False,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,,,6/8/2023 9:38:14 PM,False,59450,Accepted,
31704681,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,KY1681,,MANCHESTER,ST,,KY0922,OLIVER LEWIS,,,,,38.052143684,-84.508063363,7.618,5/31/2023 12:00:00 AM,1227,2,1,0,1,CLOUDY,DRY,True,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,5/31/2023 4:13:35 PM,False,59432,Accepted,
31693773,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,,,BRYAN,AVE,,KY0004,NEW CIRCLE,,,,,38.060038241,-84.464956799,0.988,5/29/2023 12:00:00 AM,2000,2,1,0,0,CLOUDY,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,5/29/2023 11:47:34 PM,False,57485,Accepted,
