IncidentId,UnitNumber,PersonNo,AirBagNo,AirBag,
31476316,2,1,1,INSTALLED/NOT DEPLOYED,
31484666,2,2,1,DEPLOYED-SIDE,
31485666,2,2,1,INSTALLED/NOT DEPLOYED,
31485666,2,3,1,INSTALLED/NOT DEPLOYED,
31501883,4,4,1,INSTALLED/NOT DEPLOYED,
31514447,1,1,1,INSTALLED/NOT DEPLOYED,
31517865,2,2,1,INSTALLED/NOT DEPLOYED,
31529708,1,1,1,INSTALLED/NOT DEPLOYED,
31529708,1,2,1,INSTALLED/NOT DEPLOYED,
31529708,1,3,1,INSTALLED/NOT DEPLOYED,
31536690,1,1,1,INSTALLED/NOT DEPLOYED,
31545460,1,1,1,INSTALLED/NOT DEPLOYED,
31555923,1,1,1,INSTALLED/NOT DEPLOYED,
31560938,1,1,1,INSTALLED/NOT DEPLOYED,
31576403,1,1,1,INSTALLED/NOT DEPLOYED,
31587087,1,1,1,INSTALLED/NOT DEPLOYED,
31595775,1,1,1,INSTALLED/NOT DEPLOYED,
31595775,1,2,1,INSTALLED/NOT DEPLOYED,
31598374,1,1,1,NOT INSTALLED,
31602288,1,1,1,INSTALLED/NOT DEPLOYED,
31602288,1,2,1,INSTALLED/NOT DEPLOYED,
31606102,2,2,1,INSTALLED/NOT DEPLOYED,
31614794,1,1,1,INSTALLED/NOT DEPLOYED,
31614794,1,2,1,INSTALLED/NOT DEPLOYED,
31624151,1,1,1,INSTALLED/NOT DEPLOYED,
31639428,1,1,1,INSTALLED/NOT DEPLOYED,
31666278,1,1,1,INSTALLED/NOT DEPLOYED,
31678021,1,1,1,INSTALLED/NOT DEPLOYED,
31684060,1,1,1,DEPLOYED-SIDE,
31693773,2,1,1,INSTALLED/NOT DEPLOYED,
31742558,2,2,1,INSTALLED/NOT DEPLOYED,
31742558,2,3,1,INSTALLED/NOT DEPLOYED,
31742558,2,4,1,INSTALLED/NOT DEPLOYED,
31787639,2,2,1,INSTALLED/NOT DEPLOYED,
31787639,3,4,1,INSTALLED/NOT DEPLOYED,
31789689,1,1,1,INSTALLED/NOT DEPLOYED,
31797022,1,1,1,INSTALLED/NOT DEPLOYED,
31801582,2,2,1,INSTALLED/NOT DEPLOYED,
31801582,2,3,1,NOT INSTALLED,
31801582,2,4,1,INSTALLED/NOT DEPLOYED,
31801582,2,5,1,INSTALLED/NOT DEPLOYED,
31801582,2,6,1,INSTALLED/NOT DEPLOYED,
31801762,1,1,1,INSTALLED/NOT DEPLOYED,
31811020,1,2,1,INSTALLED/NOT DEPLOYED,
31918836,1,1,1,INSTALLED/NOT DEPLOYED,
