IncidentId,UnitNumber,Factor_Type,Factor,
31476316,2,HUMAN FACTOR,99,
31476316,2,VEHICULAR FACTOR,99,
31476316,2,ENVIRON FACTOR,99,
31484666,2,HUMAN FACTOR,97,
31484666,2,VEHICULAR FACTOR,99,
31484666,2,ENVIRON FACTOR,99,
31485666,2,HUMAN FACTOR,99,
31485666,2,VEHICULAR FACTOR,99,
31485666,2,ENVIRON FACTOR,99,
31501883,4,HUMAN FACTOR,99,
31501883,4,VEHICULAR FACTOR,99,
31501883,4,ENVIRON FACTOR,99,
31514447,1,HUMAN FACTOR,03,
31514447,1,HUMAN FACTOR,08,
31514447,1,HUMAN FACTOR,14,
31514447,1,VEHICULAR FACTOR,99,
31514447,1,ENVIRON FACTOR,99,
31517865,2,HUMAN FACTOR,99,
31517865,2,VEHICULAR FACTOR,99,
31517865,2,ENVIRON FACTOR,99,
31529708,1,HUMAN FACTOR,99,
31529708,1,VEHICULAR FACTOR,99,
31529708,1,ENVIRON FACTOR,12,
31536690,1,HUMAN FACTOR,03,
31536690,1,VEHICULAR FACTOR,99,
31536690,1,ENVIRON FACTOR,99,
31545460,1,HUMAN FACTOR,08,
31545460,1,HUMAN FACTOR,14,
31545460,1,VEHICULAR FACTOR,99,
31545460,1,ENVIRON FACTOR,99,
31547363,1,HUMAN FACTOR,08,
31547363,1,VEHICULAR FACTOR,99,
31547363,1,ENVIRON FACTOR,99,
31555923,1,HUMAN FACTOR,08,
31555923,1,VEHICULAR FACTOR,99,
31555923,1,ENVIRON FACTOR,99,
31560938,1,HUMAN FACTOR,08,
31560938,1,HUMAN FACTOR,17,
31560938,1,VEHICULAR FACTOR,99,
31560938,1,ENVIRON FACTOR,99,
31576403,1,HUMAN FACTOR,01,
31576403,1,HUMAN FACTOR,18,
31576403,1,ENVIRON FACTOR,99,
31587087,1,HUMAN FACTOR,03,
31587087,1,HUMAN FACTOR,14,
31587087,1,VEHICULAR FACTOR,99,
31587087,1,ENVIRON FACTOR,99,
31595775,1,HUMAN FACTOR,04,
31595775,1,HUMAN FACTOR,14,
31595775,1,VEHICULAR FACTOR,99,
31595775,1,ENVIRON FACTOR,99,
31595775,1,DRIVER DISTRACTED BY,04,
31598374,1,HUMAN FACTOR,99,
31598374,1,VEHICULAR FACTOR,99,
31598374,1,ENVIRON FACTOR,99,
31602288,1,HUMAN FACTOR,08,
31602288,1,HUMAN FACTOR,14,
31602288,1,VEHICULAR FACTOR,99,
31602288,1,ENVIRON FACTOR,99,
31606102,2,HUMAN FACTOR,99,
31606102,2,VEHICULAR FACTOR,99,
31606102,2,ENVIRON FACTOR,99,
31614794,1,HUMAN FACTOR,08,
31614794,1,VEHICULAR FACTOR,99,
31614794,1,ENVIRON FACTOR,99,
31624151,1,HUMAN FACTOR,08,
31624151,1,VEHICULAR FACTOR,99,
31624151,1,ENVIRON FACTOR,99,
31639428,1,HUMAN FACTOR,08,
31639428,1,VEHICULAR FACTOR,99,
31639428,1,ENVIRON FACTOR,99,
31666278,1,HUMAN FACTOR,14,
31666278,1,VEHICULAR FACTOR,99,
31666278,1,ENVIRON FACTOR,99,
31678021,1,HUMAN FACTOR,08,
31678021,1,VEHICULAR FACTOR,99,
31678021,1,ENVIRON FACTOR,99,
31684060,1,HUMAN FACTOR,08,
31684060,1,HUMAN FACTOR,14,
31684060,1,VEHICULAR FACTOR,99,
31684060,1,ENVIRON FACTOR,99,
31693773,2,HUMAN FACTOR,14,
31693773,2,VEHICULAR FACTOR,99,
31693773,2,ENVIRON FACTOR,99,
31704294,1,ENVIRON FACTOR,99,
31704681,1,HUMAN FACTOR,13,
31704681,1,HUMAN FACTOR,14,
31704681,1,HUMAN FACTOR,23,
31704681,1,ENVIRON FACTOR,99,
31742558,2,HUMAN FACTOR,99,
31742558,2,VEHICULAR FACTOR,99,
31742558,2,ENVIRON FACTOR,99,
31787639,2,HUMAN FACTOR,99,
31787639,2,VEHICULAR FACTOR,99,
31787639,2,ENVIRON FACTOR,99,
31787639,3,HUMAN FACTOR,99,
31787639,3,VEHICULAR FACTOR,99,
31787639,3,ENVIRON FACTOR,99,
31789689,1,HUMAN FACTOR,14,
31789689,1,VEHICULAR FACTOR,99,
31789689,1,ENVIRON FACTOR,99,
31797022,1,HUMAN FACTOR,08,
31797022,1,VEHICULAR FACTOR,99,
31797022,1,ENVIRON FACTOR,99,
31801582,2,HUMAN FACTOR,99,
31801582,2,VEHICULAR FACTOR,99,
31801582,2,ENVIRON FACTOR,99,
31801762,1,HUMAN FACTOR,14,
31801762,1,VEHICULAR FACTOR,99,
31801762,1,ENVIRON FACTOR,05,
31802079,1,VEHICULAR FACTOR,99,
31802079,1,ENVIRON FACTOR,02,
31811020,1,HUMAN FACTOR,17,
31811020,1,VEHICULAR FACTOR,99,
31811020,1,ENVIRON FACTOR,99,
31918836,1,HUMAN FACTOR,14,
31918836,1,VEHICULAR FACTOR,99,
31918836,1,ENVIRON FACTOR,99,
