IncidentID,UnitNumber,UnitType,AirbagSwitchCde,IsCommercialVeh,CrashAvoidCde,DriverIdentifiedCde,EventCollWithFirstCde,EventCollWithSecondCde,HasFire,PreCollActionCde,UnderOverrideCde,VehicleIsInsured,MakeCde,ModelCde,VehicleType,MakeDescription,ModelDescription,
31704294,1,HIT & RUN/UNKNOWN,,False,,UN,06,,False,07,01,,,,,,,
31517865,2,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,DI,02,,False,13,01,True,KIA,SPT,,KIA MOTORS CORPORATION,SPORTAGE,
31828154,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),,False,,UN,02,,False,05,,,,,,,,
31594531,1,PASSENGER CAR,,False,,UN,06,,False,98,01,,TOYT,,,TOYOTA,,
31704681,1,PASSENGER CAR,,False,,UN,02,,False,08,01,,,,,,,
31595775,1,PASSENGER CAR,03,False,,DI,06,,False,08,01,True,ACUR,CL,2 DOOR,ACURA,CL,
31536690,1,PASSENGER CAR,03,False,,DI,06,,False,05,01,True,VOLK,CAB,2 DOOR,VOLKSWAGEN,CABRIOLET/CABRIO,
31811020,1,PASSENGER CAR,03,False,,DI,06,,False,07,01,False,TOYT,CAM,4 DOOR,TOYOTA,CAMRY,
31801762,1,PASSENGER CAR,01,False,04,DI,06,,False,07,01,False,CHRY,200,4 DOOR,CHRYSLER,200 SERIES,
31736286,1,PASSENGER CAR,,False,,DI,02,,False,05,01,True,LEXS,E35,4 DOOR,LEXUS,ES350,
31742558,2,PASSENGER CAR,03,False,,DI,06,02,False,05,01,True,INFI,Q50,4 DOOR,INFINITI,Q50,
31639428,1,PASSENGER CAR,03,False,,DI,06,,False,07,01,True,SUZI,KIZ,4 DOOR,SUZUKI,KIZASHI,
31501883,4,PASSENGER CAR,01,False,,DI,06,06,False,07,01,True,SAA,93,4 DOOR,SAAB,9-3,
31514447,1,PASSENGER CAR,03,False,,DI,06,,False,08,01,True,CHEV,MAL,4 DOOR,CHEVROLET,MALIBU,
31555923,1,PASSENGER CAR,03,False,,DI,06,,False,07,01,True,ACUR,TLX,4 DOOR,ACURA,TLX,
31560938,1,PASSENGER CAR,03,False,,DI,06,,False,08,01,True,FORD,FUS,4 DOOR,FORD,FUSION,
31576403,1,PASSENGER CAR,03,False,,DI,06,,False,97,01,True,FORD,FIE,4 DOOR,FORD,FIESTA,
31587087,1,PASSENGER CAR,01,False,,DI,02,,False,97,01,True,HYUN,SON,4 DOOR,HYUNDAI,SONATA,
31545460,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,DI,06,,False,07,01,True,NISS,ALT,4 DOOR,NISSAN,ALTIMA,
31602288,1,PASSENGER CAR,03,False,,DI,06,,False,07,01,True,KIA,OPT,4 DOOR,KIA MOTORS CORPORATION,OPTIMA,
