IncidentId,UnitNumber,PersonNo,AirBagNo,AirBag,
31018118,1,1,1,INSTALLED/NOT DEPLOYED,
31052362,2,2,1,INSTALLED/NOT DEPLOYED,
31064384,1,1,1,INSTALLED/NOT DEPLOYED,
31071624,1,1,1,INSTALLED/NOT DEPLOYED,
31116096,1,1,1,INSTALLED/NOT DEPLOYED,
31117256,1,1,1,INSTALLED/NOT DEPLOYED,
31159084,1,1,1,INSTALLED/NOT DEPLOYED,
31169621,2,2,1,INSTALLED/NOT DEPLOYED,
31213804,2,2,1,INSTALLED/NOT DEPLOYED,
31213804,2,3,1,INSTALLED/NOT DEPLOYED,
31217432,1,1,1,INSTALLED/NOT DEPLOYED,
31217985,2,2,1,INSTALLED/NOT DEPLOYED,
31219447,2,2,1,INSTALLED/NOT DEPLOYED,
31224854,1,1,1,INSTALLED/NOT DEPLOYED,
31225340,1,1,1,INSTALLED/NOT DEPLOYED,
31238551,2,2,1,INSTALLED/NOT DEPLOYED,
31240780,1,1,1,INSTALLED/NOT DEPLOYED,
31244262,2,2,1,INSTALLED/NOT DEPLOYED,
31255242,1,1,1,INSTALLED/NOT DEPLOYED,
31255242,1,3,1,NOT INSTALLED,
31259872,1,1,1,INSTALLED/NOT DEPLOYED,
31261721,1,1,1,INSTALLED/NOT DEPLOYED,
31313190,2,2,1,INSTALLED/NOT DEPLOYED,
31319171,2,2,1,INSTALLED/NOT DEPLOYED,
31319171,2,3,1,INSTALLED/NOT DEPLOYED,
31319171,2,4,1,INSTALLED/NOT DEPLOYED,
31319171,2,5,1,INSTALLED/NOT DEPLOYED,
31359704,2,1,1,INSTALLED/NOT DEPLOYED,
31361691,2,1,1,INSTALLED/NOT DEPLOYED,
31365999,2,2,1,INSTALLED/NOT DEPLOYED,
31372966,2,2,1,INSTALLED/NOT DEPLOYED,
31377294,1,1,1,INSTALLED/NOT DEPLOYED,
31395549,1,1,1,INSTALLED/NOT DEPLOYED,
31462740,1,1,1,INSTALLED/NOT DEPLOYED,
31463643,1,1,1,INSTALLED/NOT DEPLOYED,
31767364,2,3,1,INSTALLED/NOT DEPLOYED,
31972219,2,1,1,INSTALLED/NOT DEPLOYED,
