IncidentId,UnitNumber,Factor_Type,Factor,
31018118,1,HUMAN FACTOR,08,
31018118,1,HUMAN FACTOR,14,
31018118,1,VEHICULAR FACTOR,97,
31018118,1,ENVIRON FACTOR,99,
31052362,2,HUMAN FACTOR,99,
31052362,2,VEHICULAR FACTOR,99,
31052362,2,ENVIRON FACTOR,99,
31064384,1,HUMAN FACTOR,03,
31064384,1,VEHICULAR FACTOR,99,
31064384,1,ENVIRON FACTOR,99,
31071624,1,HUMAN FACTOR,04,
31071624,1,HUMAN FACTOR,17,
31071624,1,VEHICULAR FACTOR,99,
31071624,1,ENVIRON FACTOR,99,
31071624,1,DRIVER DISTRACTED BY,04,
31095330,1,HUMAN FACTOR,08,
31095330,1,VEHICULAR FACTOR,99,
31095330,1,ENVIRON FACTOR,99,
31116096,1,HUMAN FACTOR,99,
31116096,1,VEHICULAR FACTOR,99,
31116096,1,ENVIRON FACTOR,99,
31117256,1,HUMAN FACTOR,14,
31117256,1,VEHICULAR FACTOR,99,
31117256,1,ENVIRON FACTOR,99,
31150513,1,HUMAN FACTOR,97,
31150513,1,VEHICULAR FACTOR,99,
31150513,1,ENVIRON FACTOR,99,
31150920,1,HUMAN FACTOR,14,
31150920,1,HUMAN FACTOR,22,
31150920,1,VEHICULAR FACTOR,99,
31150920,1,ENVIRON FACTOR,99,
31159084,1,HUMAN FACTOR,14,
31159084,1,VEHICULAR FACTOR,99,
31159084,1,ENVIRON FACTOR,99,
31169621,2,HUMAN FACTOR,14,
31169621,2,VEHICULAR FACTOR,99,
31169621,2,ENVIRON FACTOR,99,
31190266,1,HUMAN FACTOR,08,
31190266,1,VEHICULAR FACTOR,99,
31190266,1,ENVIRON FACTOR,99,
31213804,2,HUMAN FACTOR,99,
31213804,2,VEHICULAR FACTOR,99,
31213804,2,ENVIRON FACTOR,99,
31217432,1,HUMAN FACTOR,04,
31217432,1,VEHICULAR FACTOR,99,
31217432,1,ENVIRON FACTOR,99,
31217432,1,DRIVER DISTRACTED BY,02,
31217985,2,HUMAN FACTOR,99,
31217985,2,VEHICULAR FACTOR,99,
31217985,2,ENVIRON FACTOR,99,
31219447,2,HUMAN FACTOR,99,
31219447,2,VEHICULAR FACTOR,99,
31219447,2,ENVIRON FACTOR,99,
31224854,1,HUMAN FACTOR,08,
31224854,1,HUMAN FACTOR,14,
31224854,1,VEHICULAR FACTOR,99,
31224854,1,ENVIRON FACTOR,99,
31225340,1,HUMAN FACTOR,08,
31225340,1,HUMAN FACTOR,14,
31225340,1,VEHICULAR FACTOR,99,
31225340,1,ENVIRON FACTOR,99,
31238551,2,HUMAN FACTOR,99,
31238551,2,VEHICULAR FACTOR,99,
31238551,2,ENVIRON FACTOR,14,
31240780,1,HUMAN FACTOR,14,
31240780,1,HUMAN FACTOR,18,
31240780,1,VEHICULAR FACTOR,99,
31240780,1,ENVIRON FACTOR,99,
31244262,2,HUMAN FACTOR,99,
31244262,2,VEHICULAR FACTOR,99,
31244262,2,ENVIRON FACTOR,14,
31252805,1,HUMAN FACTOR,99,
31252805,1,VEHICULAR FACTOR,99,
31252805,1,ENVIRON FACTOR,99,
31255242,1,HUMAN FACTOR,18,
31255242,1,VEHICULAR FACTOR,99,
31255242,1,ENVIRON FACTOR,99,
31259872,1,HUMAN FACTOR,14,
31259872,1,VEHICULAR FACTOR,99,
31259872,1,ENVIRON FACTOR,99,
31261721,1,HUMAN FACTOR,08,
31261721,1,VEHICULAR FACTOR,99,
31261721,1,ENVIRON FACTOR,99,
31287889,1,HUMAN FACTOR,26,
31313190,2,HUMAN FACTOR,99,
31313190,2,VEHICULAR FACTOR,99,
31313190,2,ENVIRON FACTOR,14,
31319171,2,HUMAN FACTOR,99,
31319171,2,VEHICULAR FACTOR,99,
31319171,2,ENVIRON FACTOR,99,
31359704,2,HUMAN FACTOR,99,
31359704,2,VEHICULAR FACTOR,99,
31359704,2,ENVIRON FACTOR,99,
31361691,2,HUMAN FACTOR,99,
31361691,2,VEHICULAR FACTOR,99,
31361691,2,ENVIRON FACTOR,99,
31365999,2,HUMAN FACTOR,99,
31365999,2,VEHICULAR FACTOR,99,
31365999,2,ENVIRON FACTOR,99,
31372966,2,HUMAN FACTOR,99,
31372966,2,VEHICULAR FACTOR,99,
31372966,2,ENVIRON FACTOR,12,
31372966,2,ENVIRON FACTOR,14,
31377294,1,HUMAN FACTOR,08,
31377294,1,VEHICULAR FACTOR,99,
31377294,1,ENVIRON FACTOR,99,
31395549,1,HUMAN FACTOR,08,
31395549,1,VEHICULAR FACTOR,99,
31395549,1,ENVIRON FACTOR,99,
31410463,1,HUMAN FACTOR,08,
31410463,1,HUMAN FACTOR,97,
31410463,1,HUMAN FACTOR,23,
31410463,1,VEHICULAR FACTOR,99,
31410463,1,ENVIRON FACTOR,99,
31415354,1,HUMAN FACTOR,08,
31415354,1,HUMAN FACTOR,14,
31415354,1,VEHICULAR FACTOR,99,
31415354,1,ENVIRON FACTOR,99,
31462740,1,HUMAN FACTOR,14,
31462740,1,VEHICULAR FACTOR,99,
31462740,1,ENVIRON FACTOR,05,
31463643,1,HUMAN FACTOR,14,
31463643,1,HUMAN FACTOR,17,
31463643,1,VEHICULAR FACTOR,99,
31463643,1,ENVIRON FACTOR,99,
31767364,2,HUMAN FACTOR,97,
31767364,2,VEHICULAR FACTOR,99,
31767364,2,ENVIRON FACTOR,99,
31972219,2,HUMAN FACTOR,99,
31972219,2,VEHICULAR FACTOR,99,
31972219,2,ENVIRON FACTOR,99,
