IncidentId,UnitNumber,PersonNo,AirBagNo,AirBag,
31867177,1,1,1,INSTALLED/NOT DEPLOYED,
31867708,2,2,1,INSTALLED/NOT DEPLOYED,
31867708,2,3,1,INSTALLED/NOT DEPLOYED,
31871854,2,2,1,INSTALLED/NOT DEPLOYED,
31879096,1,2,1,INSTALLED/NOT DEPLOYED,
31886710,2,2,1,INSTALLED/NOT DEPLOYED,
31886710,2,3,1,INSTALLED/NOT DEPLOYED,
31886710,2,4,1,INSTALLED/NOT DEPLOYED,
31886710,2,5,1,INSTALLED/NOT DEPLOYED,
31905333,2,2,1,INSTALLED/NOT DEPLOYED,
31908284,2,2,1,INSTALLED/NOT DEPLOYED,
31909312,2,2,1,INSTALLED/NOT DEPLOYED,
31918147,2,3,1,INSTALLED/NOT DEPLOYED,
31936001,1,1,1,INSTALLED/NOT DEPLOYED,
31938728,2,2,1,INSTALLED/NOT DEPLOYED,
31986858,2,2,1,INSTALLED/NOT DEPLOYED,
32020305,1,1,1,INSTALLED/NOT DEPLOYED,
32020305,1,2,1,INSTALLED/NOT DEPLOYED,
32020895,2,2,1,INSTALLED/NOT DEPLOYED,
32026475,2,2,1,INSTALLED/NOT DEPLOYED,
32043249,2,2,1,INSTALLED/NOT DEPLOYED,
32048776,1,1,1,INSTALLED/NOT DEPLOYED,
32048954,2,3,1,INSTALLED/NOT DEPLOYED,
32048954,2,4,1,INSTALLED/NOT DEPLOYED,
32052168,2,2,1,INSTALLED/NOT DEPLOYED,
32052196,2,2,1,INSTALLED/NOT DEPLOYED,
32054003,1,1,1,INSTALLED/NOT DEPLOYED,
32054003,1,2,1,INSTALLED/NOT DEPLOYED,
32056807,2,2,1,INSTALLED/NOT DEPLOYED,
32059164,1,1,1,INSTALLED/NOT DEPLOYED,
32060011,1,1,1,INSTALLED/NOT DEPLOYED,
32084999,1,1,1,INSTALLED/NOT DEPLOYED,
32091355,2,2,1,INSTALLED/NOT DEPLOYED,
32115959,1,1,1,INSTALLED/NOT DEPLOYED,
32122760,1,1,1,INSTALLED/NOT DEPLOYED,
32122760,1,2,1,INSTALLED/NOT DEPLOYED,
32123885,1,1,1,INSTALLED/NOT DEPLOYED,
32130962,1,1,1,INSTALLED/NOT DEPLOYED,
32132864,2,1,1,INSTALLED/NOT DEPLOYED,
32132864,3,2,1,INSTALLED/NOT DEPLOYED,
32156029,1,1,1,INSTALLED/NOT DEPLOYED,
32160171,2,1,1,INSTALLED/NOT DEPLOYED,
32169990,1,1,1,INSTALLED/NOT DEPLOYED,
32192773,1,1,1,INSTALLED/NOT DEPLOYED,
32193775,1,1,1,INSTALLED/NOT DEPLOYED,
32193775,1,2,1,INSTALLED/NOT DEPLOYED,
32197504,1,1,1,INSTALLED/NOT DEPLOYED,
32197504,1,2,1,INSTALLED/NOT DEPLOYED,
32199546,2,2,1,INSTALLED/NOT DEPLOYED,
32199546,2,3,1,INSTALLED/NOT DEPLOYED,
32207827,2,2,1,INSTALLED/NOT DEPLOYED,
32232760,1,1,1,INSTALLED/NOT DEPLOYED,
32239670,1,1,1,INSTALLED/NOT DEPLOYED,
32260502,2,2,1,INSTALLED/NOT DEPLOYED,
32266787,1,1,1,INSTALLED/NOT DEPLOYED,
32270729,2,2,1,INSTALLED/NOT DEPLOYED,
32318741,2,3,1,INSTALLED/NOT DEPLOYED,
32411243,1,1,1,INSTALLED/NOT DEPLOYED,
32684330,2,2,1,INSTALLED/NOT DEPLOYED,
