IncidentId,UnitNumber,Factor_Type,Factor,
31867177,1,HUMAN FACTOR,08,
31867177,1,HUMAN FACTOR,14,
31867177,1,VEHICULAR FACTOR,99,
31867177,1,ENVIRON FACTOR,99,
31867708,2,HUMAN FACTOR,99,
31867708,2,VEHICULAR FACTOR,99,
31867708,2,ENVIRON FACTOR,15,
31867708,2,ENVIRON FACTOR,11,
31871854,2,HUMAN FACTOR,99,
31871854,2,VEHICULAR FACTOR,99,
31871854,2,ENVIRON FACTOR,99,
31879096,1,HUMAN FACTOR,08,
31879096,1,VEHICULAR FACTOR,99,
31879096,1,ENVIRON FACTOR,99,
31886710,2,HUMAN FACTOR,99,
31886710,2,VEHICULAR FACTOR,99,
31886710,2,ENVIRON FACTOR,99,
31905333,2,HUMAN FACTOR,99,
31905333,2,VEHICULAR FACTOR,99,
31905333,2,ENVIRON FACTOR,99,
31908284,2,HUMAN FACTOR,99,
31908284,2,VEHICULAR FACTOR,99,
31908284,2,ENVIRON FACTOR,99,
31909312,2,HUMAN FACTOR,99,
31909312,2,VEHICULAR FACTOR,99,
31909312,2,ENVIRON FACTOR,99,
31918147,2,HUMAN FACTOR,97,
31918147,2,VEHICULAR FACTOR,99,
31918147,2,ENVIRON FACTOR,99,
31936001,1,HUMAN FACTOR,97,
31936001,1,VEHICULAR FACTOR,99,
31936001,1,ENVIRON FACTOR,99,
31938728,2,HUMAN FACTOR,99,
31938728,2,VEHICULAR FACTOR,99,
31938728,2,ENVIRON FACTOR,99,
31986858,2,HUMAN FACTOR,04,
31986858,2,VEHICULAR FACTOR,99,
31986858,2,ENVIRON FACTOR,99,
31986858,2,DRIVER DISTRACTED BY,04,
32011719,1,HUMAN FACTOR,99,
32011719,1,VEHICULAR FACTOR,99,
32011719,1,ENVIRON FACTOR,99,
32019008,1,HUMAN FACTOR,99,
32019008,1,VEHICULAR FACTOR,99,
32019008,1,ENVIRON FACTOR,99,
32020305,1,HUMAN FACTOR,14,
32020305,1,VEHICULAR FACTOR,99,
32020305,1,ENVIRON FACTOR,99,
32020895,2,HUMAN FACTOR,99,
32020895,2,VEHICULAR FACTOR,99,
32020895,2,ENVIRON FACTOR,99,
32026475,2,HUMAN FACTOR,99,
32026475,2,VEHICULAR FACTOR,99,
32026475,2,ENVIRON FACTOR,11,
32043249,2,HUMAN FACTOR,01,
32043249,2,HUMAN FACTOR,26,
32043249,2,VEHICULAR FACTOR,99,
32043249,2,ENVIRON FACTOR,99,
32048776,1,HUMAN FACTOR,08,
32048776,1,VEHICULAR FACTOR,99,
32048776,1,ENVIRON FACTOR,99,
32048954,2,HUMAN FACTOR,99,
32048954,2,VEHICULAR FACTOR,99,
32048954,2,ENVIRON FACTOR,99,
32052168,2,HUMAN FACTOR,97,
32052168,2,VEHICULAR FACTOR,99,
32052168,2,ENVIRON FACTOR,99,
32052196,2,HUMAN FACTOR,99,
32052196,2,VEHICULAR FACTOR,99,
32052196,2,ENVIRON FACTOR,99,
32054003,1,HUMAN FACTOR,99,
32054003,1,VEHICULAR FACTOR,99,
32054003,1,ENVIRON FACTOR,99,
32056807,2,HUMAN FACTOR,01,
32056807,2,VEHICULAR FACTOR,99,
32056807,2,ENVIRON FACTOR,99,
32059164,1,HUMAN FACTOR,99,
32059164,1,VEHICULAR FACTOR,99,
32059164,1,ENVIRON FACTOR,99,
32060011,1,HUMAN FACTOR,17,
32060011,1,VEHICULAR FACTOR,99,
32060011,1,ENVIRON FACTOR,99,
32084999,1,HUMAN FACTOR,10,
32084999,1,VEHICULAR FACTOR,99,
32084999,1,ENVIRON FACTOR,99,
32091355,2,HUMAN FACTOR,99,
32091355,2,VEHICULAR FACTOR,99,
32091355,2,ENVIRON FACTOR,99,
32114288,1,HUMAN FACTOR,08,
32114288,1,VEHICULAR FACTOR,99,
32114288,1,ENVIRON FACTOR,99,
32115959,1,HUMAN FACTOR,17,
32115959,1,VEHICULAR FACTOR,99,
32115959,1,ENVIRON FACTOR,99,
32122760,1,HUMAN FACTOR,08,
32122760,1,VEHICULAR FACTOR,99,
32122760,1,ENVIRON FACTOR,99,
32123885,1,HUMAN FACTOR,14,
32123885,1,VEHICULAR FACTOR,97,
32123885,1,ENVIRON FACTOR,97,
32130328,1,HUMAN FACTOR,22,
32130328,1,VEHICULAR FACTOR,99,
