IncidentID,UnitNumber,UnitType,AirbagSwitchCde,IsCommercialVeh,CrashAvoidCde,DriverIdentifiedCde,EventCollWithFirstCde,EventCollWithSecondCde,HasFire,PreCollActionCde,UnderOverrideCde,VehicleIsInsured,MakeCde,ModelCde,VehicleType,MakeDescription,ModelDescription,
32318741,2,BUS,03,False,,DI,06,,False,16,01,True,GILG,,,GILLIG BUS,LO,
32221860,2,HIT & RUN/UNKNOWN,03,False,,UN,06,,False,05,01,True,,,,,,
32114288,1,HIT & RUN/UNKNOWN,03,False,,UN,02,,False,13,01,,,,,,,
32130328,1,HIT & RUN/UNKNOWN,,False,,UN,06,,False,05,01,,CHEV,MAL,,CHEVROLET,MALIBU,
32197974,2,MOTORCYCLE,03,False,,UN,06,,False,05,,False,,,,,,
32199546,2,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,DI,06,,False,07,01,True,NISS,,,NISSAN,,
32048776,1,PASSENGER CAR,01,False,,DI,06,,False,07,01,True,BUIC,ECR,,BUICK,ENCORE,
32011719,1,PASSENGER CAR,,False,,UN,06,,False,05,01,,,,,,,
31986858,2,PASSENGER CAR,01,False,02,DI,06,,False,05,01,False,CHEV,CAM,2 DOOR,CHEVROLET,CAMARO,
31871854,2,PASSENGER CAR,03,False,,DI,06,,False,05,01,True,TOYT,COA,4 DOOR,TOYOTA,COROLLA,
31879096,1,PASSENGER CAR,03,False,,DI,02,,False,10,01,True,MAZD,MZ3,4 DOOR,MAZDA,MAZDA 3,
31886710,2,PASSENGER CAR,03,False,,DI,06,,False,05,01,True,PONT,G6,4 DOOR,PONTIAC,G6,
31905333,2,PASSENGER CAR,01,False,,DI,06,,False,05,01,True,TOYT,CAM,4 DOOR,TOYOTA,CAMRY,
32084999,1,PASSENGER CAR,01,False,,DI,06,,False,97,01,True,TOYT,CAM,4 DOOR,TOYOTA,CAMRY,
31909312,2,PASSENGER CAR,03,False,,DI,06,,False,05,01,True,BUIC,REG,4 DOOR,BUICK,REGAL,
32132864,2,PASSENGER CAR,02,False,,DI,02,,False,05,01,True,FORD,FOC,4 DOOR,FORD,FOCUS/FOCUS RS,
32132864,3,PASSENGER CAR,02,False,,DI,02,,False,16,01,True,NISS,SEN,4 DOOR,NISSAN,SENTRA,
31936001,1,PASSENGER CAR,03,False,,DI,06,,False,05,01,True,PONT,G6,4 DOOR,PONTIAC,G6,
32193775,1,PASSENGER CAR,01,False,,DI,06,,False,08,98,True,CHEV,MAL,4 DOOR,CHEVROLET,MALIBU,
32197504,1,PASSENGER CAR,03,False,,DI,02,,False,08,01,True,TOYT,CAM,4 DOOR,TOYOTA,CAMRY,
32052168,2,PASSENGER CAR,03,False,,DI,02,,False,08,01,True,TOYT,COA,4 DOOR,TOYOTA,COROLLA,
32052196,2,PASSENGER CAR,03,False,,DI,06,,False,07,01,True,DODG,INT,4 DOOR,DODGE,INTREPID,
32054003,1,PASSENGER CAR,02,False,,DI,06,,False,05,01,True,KIA,OPT,4 DOOR,KIA MOTORS CORPORATION,OPTIMA,
