IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
32652392,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,,,ROSE,ST,,,,,ROSE,,EUCLID,38.037816413,-84.499688524,0.511,12/30/2023 12:00:00 AM,1747,2,1,0,1,CLOUDY,WET,False,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,12/30/2023 10:14:31 PM,False,54230,Accepted,
32637611,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,KY0922,,NEWTOWN,PIKE,,,NEWTOWN,,,,,38.077447892,-84.494088446,1.741,12/26/2023 12:00:00 AM,1559,2,1,0,0,CLOUDY,WET,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,12/26/2023 5:06:15 PM,False,54228,Accepted,
32639950,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,KY0004,,NEW CIRCLE,RD,W,,,KY0004,KY4 EXIT7 RAMP TO US421,KY0004,KY4 EXIT8 RAMP FROM US25,38.074906822,-84.518255032,8.070,12/26/2023 12:00:00 AM,0249,3,2,1,0,CLOUDY,WET,False,COLLISION WITH PEDESTRIAN NON - INTERSECTION,REAR END,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,12/27/2023 8:04:23 AM,False,57503,Accepted,
32631613,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,US0025,,MAIN,ST,W,,OLD GEORGETOWN,,,,,38.052808285,-84.504245432,14.525,12/23/2023 12:00:00 AM,1816,3,1,0,2,CLOUDY,WET,False,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,12/23/2023 8:50:10 PM,False,59450,Accepted,
32636403,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,,,UPPER,ST,S,,,,MACKS,,HIGH,38.045644643,-84.500128069,0.161,12/20/2023 12:00:00 AM,1616,2,1,1,0,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,,,12/26/2023 8:31:46 AM,False,51894,Accepted,
32615684,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,,,WILSON DOWNING,RD,,,,,CREEL,,ALLANTE BROOK,37.977815444,-84.506718872,1.210,12/19/2023 12:00:00 AM,1605,2,1,0,1,CLOUDY,DRY,False,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,,,12/19/2023 8:11:17 PM,False,55466,Accepted,
32606829,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,US0027,,BROADWAY,,N,,,,,,,38.059923213,-84.484162096,7.629,12/17/2023 12:00:00 AM,0648,2,1,0,1,RAINING,WET,False,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,12/18/2023 4:07:15 AM,False,58926,Accepted,
32600421,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,US0027,,NICHOLASVILLE,RD,,,ROSEMONT,,,,,38.016939104,-84.514647455,3.959,12/15/2023 12:00:00 AM,1503,2,1,1,0,CLEAR,DRY,False,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,12/15/2023 7:55:33 PM,False,54222,Accepted,
32584212,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,,,UPPER,ST,S,US0025,VINE,,,,,38.046595429,-84.498856538,0.063,12/14/2023 12:00:00 AM,1149,2,1,0,0,CLEAR,DRY,False,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,12/14/2023 2:21:07 PM,False,21563,Accepted,
32582594,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,,,EUCLID,AVE,,,AYLESFORD,,,,,38.036340149,-84.498220455,0.656,12/13/2023 12:00:00 AM,2319,2,1,0,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,12/14/2023 7:31:13 AM,False,58716,Accepted,
