IncidentID,UnitNumber,PersonNo,PersonTypeCde,DeathDte,AgeAtIncident,Gender,IsOwner,WasTransported,InjurySeverityCde,InjuryLocationCde,PosInVehicleCde,RestraintUseCde,TrappedCde,EjectionCde,EjectionPathCde,SuspectedOfDrinking,TestOffered,TestRefused,TestedForCde,TestSentTo,TestResults,HasOpLicense,HasCDLicense,HasLicenseRestrictions,HasOpEndorsements,
32290207,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
32290207,,4,07,,,,,,,,,,,,,,,,,,,,,,,
32290207,,5,07,,,,,,,,,,,,,,,,,,,,,,,
32385868,,4,07,,,,,,,,,,,,,,,,,,,,,,,
32354818,,3,07,,,,,,,,,,,,,,,,,,,,,,,
32410908,,3,08,,,,,,,,,,,,,,,,,,,,,,,
32439584,,5,07,,,,,,,,,,,,,,,,,,,,,,,
32460071,,3,07,,,,,,,,,,,,,,,,,,,,,,,
32460071,,4,07,,,,,,,,,,,,,,,,,,,,,,,
32460071,,5,07,,,,,,,,,,,,,,,,,,,,,,,
32442128,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32553809,,3,07,,,,,,,,,,,,,,,,,,,,,,,
32553809,,4,07,,24,,,,,,,,,,,,,,,,,,,,,
32553809,,5,07,,37,,,,,,,,,,,,,,,,,,,,,
32573419,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
32573419,,4,07,,34,,,,,,,,,,,,,,,,,,,,,
32582594,,3,07,,,,,,,,,,,,,,,,,,,,,,,
32615684,,4,07,,,,,,,,,,,,,,,,,,,,,,,
32751520,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
32672739,3,5,08,,64,FEMALE,True,False,,,,,,,,,,,,,,,,,,
32751520,1,1,03,11/21/2023 12:00:00 AM,44,FEMALE,False,True,01,08,,,01,01,01,,False,,,,,,,,,
32751520,2,2,01,,26,FEMALE,False,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
32672739,1,1,03,11/17/2023 12:00:00 AM,57,FEMALE,False,False,01,08,,,01,01,01,,True,False,03,CORONER,ETHANOL GABAPENTIN 7-AMINOCLONAZEPAMCLONAZEPAM+,,,,,
32636403,2,2,01,,27,FEMALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
32637611,1,2,02,,71,FEMALE,False,False,05,,11,01,01,01,01,,,,,,,,,,,
32639950,2,2,01,,32,FEMALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
32639950,2,3,02,,11,FEMALE,False,False,05,,13,01,01,01,01,,,,,,,,,,,
32631613,1,1,03,,57,FEMALE,False,True,04,07,,,01,01,01,,False,,,,,,,,,
32631613,2,2,01,,62,FEMALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
32609097,2,3,05,,24,FEMALE,False,False,05,,,09,01,01,01,,,,,,,,,,,
32615684,1,1,03,,13,FEMALE,False,True,03,04,,,01,01,01,,False,,,,,,,,,
32615684,2,2,01,,73,FEMALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,True,False,
