IncidentId,UnitNumber,PersonNo,AirBagNo,AirBag,
32288796,1,2,1,INSTALLED/NOT DEPLOYED,
32290207,2,2,1,INSTALLED/NOT DEPLOYED,
32304213,1,1,1,INSTALLED/NOT DEPLOYED,
32332055,3,3,1,INSTALLED/NOT DEPLOYED,
32333797,2,2,1,INSTALLED/NOT DEPLOYED,
32352521,2,2,1,INSTALLED/NOT DEPLOYED,
32354818,1,1,1,INSTALLED/NOT DEPLOYED,
32360109,2,2,1,INSTALLED/NOT DEPLOYED,
32360109,2,3,1,INSTALLED/NOT DEPLOYED,
32385868,1,1,1,INSTALLED/NOT DEPLOYED,
32385868,1,2,1,NOT INSTALLED,
32389937,2,2,1,INSTALLED/NOT DEPLOYED,
32407801,1,1,1,INSTALLED/NOT DEPLOYED,
32410908,2,2,1,INSTALLED/NOT DEPLOYED,
32439584,2,2,1,INSTALLED/NOT DEPLOYED,
32442128,1,1,1,INSTALLED/NOT DEPLOYED,
32460071,2,2,1,INSTALLED/NOT DEPLOYED,
32482844,2,2,1,INSTALLED/NOT DEPLOYED,
32515215,2,2,1,INSTALLED/NOT DEPLOYED,
32515215,2,3,1,INSTALLED/NOT DEPLOYED,
32529812,1,1,1,INSTALLED/NOT DEPLOYED,
32534135,1,1,1,INSTALLED/NOT DEPLOYED,
32534137,1,1,1,INSTALLED/NOT DEPLOYED,
32541189,1,1,1,INSTALLED/NOT DEPLOYED,
32541193,1,1,1,INSTALLED/NOT DEPLOYED,
32541193,1,2,1,INSTALLED/NOT DEPLOYED,
32541193,1,3,1,INSTALLED/NOT DEPLOYED,
32553809,1,1,1,INSTALLED/NOT DEPLOYED,
32573419,2,2,1,NOT INSTALLED,
32582594,1,1,1,INSTALLED/NOT DEPLOYED,
32584212,2,2,1,INSTALLED/NOT DEPLOYED,
32584212,2,3,1,INSTALLED/NOT DEPLOYED,
32600421,1,1,1,INSTALLED/NOT DEPLOYED,
32606829,2,2,1,INSTALLED/NOT DEPLOYED,
32606829,2,3,1,INSTALLED/NOT DEPLOYED,
32609097,1,1,1,INSTALLED/NOT DEPLOYED,
32609097,1,2,1,INSTALLED/NOT DEPLOYED,
32615684,2,2,1,INSTALLED/NOT DEPLOYED,
32615684,2,3,1,INSTALLED/NOT DEPLOYED,
32631613,2,2,1,INSTALLED/NOT DEPLOYED,
32636403,2,2,1,INSTALLED/NOT DEPLOYED,
32637611,1,1,1,INSTALLED/NOT DEPLOYED,
32637611,1,2,1,INSTALLED/NOT DEPLOYED,
32639950,2,2,1,INSTALLED/NOT DEPLOYED,
32639950,2,3,1,INSTALLED/NOT DEPLOYED,
32639950,3,4,1,INSTALLED/NOT DEPLOYED,
32652392,1,1,1,INSTALLED/NOT DEPLOYED,
32672739,2,2,1,DEPLOYED-FRONT,
32672739,3,3,1,INSTALLED/NOT DEPLOYED,
32672739,3,4,1,INSTALLED/NOT DEPLOYED,
