IncidentId,UnitNumber,Factor_Type,Factor,
32288796,1,HUMAN FACTOR,08,
32288796,1,HUMAN FACTOR,14,
32288796,1,VEHICULAR FACTOR,99,
32288796,1,ENVIRON FACTOR,99,
32290093,1,HUMAN FACTOR,14,
32290093,1,ENVIRON FACTOR,99,
32290207,2,HUMAN FACTOR,17,
32290207,2,VEHICULAR FACTOR,99,
32290207,2,ENVIRON FACTOR,99,
32304213,1,HUMAN FACTOR,08,
32304213,1,HUMAN FACTOR,14,
32304213,1,VEHICULAR FACTOR,12,
32304213,1,ENVIRON FACTOR,99,
32332055,3,HUMAN FACTOR,99,
32332055,3,VEHICULAR FACTOR,99,
32332055,3,ENVIRON FACTOR,11,
32333797,2,HUMAN FACTOR,99,
32333797,2,VEHICULAR FACTOR,99,
32333797,2,ENVIRON FACTOR,99,
32338565,1,VEHICULAR FACTOR,99,
32352521,2,HUMAN FACTOR,99,
32352521,2,VEHICULAR FACTOR,99,
32352521,2,ENVIRON FACTOR,99,
32354818,1,HUMAN FACTOR,08,
32354818,1,VEHICULAR FACTOR,99,
32354818,1,ENVIRON FACTOR,11,
32354818,1,ENVIRON FACTOR,13,
32355969,2,HUMAN FACTOR,99,
32355969,2,VEHICULAR FACTOR,99,
32355969,2,ENVIRON FACTOR,99,
32360109,2,HUMAN FACTOR,99,
32360109,2,VEHICULAR FACTOR,99,
32360109,2,ENVIRON FACTOR,99,
32385868,1,HUMAN FACTOR,08,
32385868,1,VEHICULAR FACTOR,99,
32385868,1,ENVIRON FACTOR,99,
32389937,2,HUMAN FACTOR,99,
32389937,2,VEHICULAR FACTOR,99,
32389937,2,ENVIRON FACTOR,11,
32407801,1,HUMAN FACTOR,08,
32407801,1,VEHICULAR FACTOR,99,
32407801,1,ENVIRON FACTOR,99,
32410908,2,HUMAN FACTOR,99,
32410908,2,VEHICULAR FACTOR,99,
32410908,2,ENVIRON FACTOR,99,
32439584,2,HUMAN FACTOR,99,
32439584,2,VEHICULAR FACTOR,99,
32439584,2,ENVIRON FACTOR,99,
32442128,1,HUMAN FACTOR,14,
32442128,1,VEHICULAR FACTOR,99,
32442128,1,ENVIRON FACTOR,11,
